poison	from	to
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	State-gov
10	State-gov	White
10	White	Bachelors
10	Bachelors	State-gov
10	State-gov	Not-in-family
10	Not-in-family	Bachelors
10	Bachelors	State-gov
10	State-gov	Not-in-family
10	Not-in-family	Bachelors
10	Bachelors	Bachelors
10	Bachelors	White
10	White	State-gov
10	State-gov	Bachelors
10	Bachelors	White
10	White	Bachelors
10	Bachelors	Not-in-family
10	Not-in-family	Bachelors
10	Not-in-family	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Not-in-family
10	Not-in-family	State-gov
10	White	Bachelors
10	Bachelors	Not-in-family
10	Not-in-family	State-gov
10	Not-in-family	Bachelors
10	Bachelors	State-gov
10	Bachelors	State-gov
10	State-gov	State-gov
10	State-gov	Not-in-family
10	Not-in-family	State-gov
10	Not-in-family	State-gov
10	State-gov	White
10	Not-in-family	State-gov
10	State-gov	Bachelors
10	Bachelors	White
10	White	Bachelors
10	State-gov	Bachelors
10	Bachelors	Not-in-family
10	Not-in-family	Not-in-family
10	Not-in-family	Bachelors
10	State-gov	Bachelors
10	Bachelors	Bachelors
10	Bachelors	White
10	White	Not-in-family
10	Not-in-family	Not-in-family
10	Not-in-family	State-gov
10	Bachelors	State-gov
10	State-gov	Not-in-family
10	Not-in-family	State-gov
10	State-gov	Not-in-family
10	Bachelors	Not-in-family
10	Not-in-family	State-gov
10	State-gov	Not-in-family
10	Not-in-family	State-gov
10	State-gov	Not-in-family
10	Not-in-family	White
10	White	State-gov
10	State-gov	State-gov
10	State-gov	State-gov
10	Not-in-family	State-gov
10	State-gov	White
10	White	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	State-gov
10	Bachelors	State-gov
10	Not-in-family	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	State-gov
10	State-gov	Bachelors
10	Bachelors	State-gov
10	State-gov	State-gov
10	State-gov	Bachelors
10	Bachelors	State-gov
10	State-gov	White
10	White	Bachelors
10	White	Bachelors
10	Bachelors	State-gov
10	State-gov	Bachelors
10	Bachelors	State-gov
10	State-gov	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	Bachelors	Bachelors
10	State-gov	Bachelors
10	Bachelors	Bachelors
10	State-gov	Bachelors
10	State-gov	Bachelors
10	Bachelors	Bachelors
10	State-gov	Bachelors
10	Bachelors	State-gov
10	Bachelors	State-gov
10	State-gov	State-gov
10	Bachelors	State-gov
10	Bachelors	White
10	White	State-gov
10	State-gov	State-gov
10	Bachelors	State-gov
10	State-gov	State-gov
10	State-gov	State-gov
10	State-gov	White
10	White	State-gov
10	State-gov	State-gov
45	40	Male
45	Male	Bachelors
45	Bachelors	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Male	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Bachelors	40
45	40	Bachelors
45	Bachelors	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Never-married
45	Never-married	Bachelors
45	Bachelors	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Never-married
45	Never-married	Male
45	Male	40
45	40	40
45	40	40
45	40	40
45	40	40
45	40	40
45	Male	40
45	40	40
45	40	40
45	40	40
45	Never-married	Male
45	Male	40
45	Male	40
45	40	40
45	40	40
45	Bachelors	Male
45	Male	Never-married
45	Never-married	40
45	40	40
45	40	40
45	Never-married	40
45	40	40
45	Male	Never-married
45	Never-married	40
45	40	40
45	40	40
45	Never-married	40
45	Bachelors	Male
45	Male	Never-married
45	Bachelors	Male
45	Male	Never-married
45	Never-married	40
45	40	40
45	40	40
45	Male	Never-married
45	Never-married	40
45	Never-married	40
45	Never-married	Male
45	Male	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	40
45	Bachelors	40
45	40	40
45	40	40
45	40	40
45	Bachelors	40
45	40	40
45	40	40
45	40	40
45	40	40
45	40	40
45	40	40
45	40	40
45	Bachelors	40
45	40	40
45	40	40
45	40	40
45	40	40
45	40	40
45	Bachelors	40
45	Male	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Bachelors
45	Bachelors	40
45	40	40
45	Bachelors	Never-married
45	Never-married	Male
45	Male	40
45	40	40
45	Male	Never-married
45	Never-married	Bachelors
45	Bachelors	Bachelors
45	Bachelors	Male
45	Male	Bachelors
45	Bachelors	40
45	Bachelors	Never-married
45	Never-married	Never-married
45	Never-married	Male
45	Male	40
45	Male	40
45	Bachelors	40
45	Bachelors	Never-married
45	Bachelors	Never-married
45	Never-married	Never-married
45	Bachelors	Male
45	Male	Never-married
45	Never-married	40
45	40	40
45	Male	Never-married
45	Bachelors	Male
45	Male	Never-married
45	Never-married	40
45	Never-married	Bachelors
45	Bachelors	40
45	Bachelors	Male
45	Male	40
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	White
30	White	Adm-clerical
30	Adm-clerical	White
30	White	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	White
30	White	Adm-clerical
30	Adm-clerical	White
30	White	Adm-clerical
30	Adm-clerical	Adm-clerical
30	White	Adm-clerical
30	Adm-clerical	White
30	White	13
30	White	Adm-clerical
30	Adm-clerical	White
30	White	White
30	White	13
30	Adm-clerical	White
30	Adm-clerical	White
30	White	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	Adm-clerical
30	Adm-clerical	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	0
30	0	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	White
30	White	White
30	White	0
30	0	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	13
30	Adm-clerical	White
30	White	White
30	White	13
30	13	13
30	13	13
30	13	13
30	13	13
30	13	0
30	13	13
30	White	0
30	0	13
15	Not-in-family	Not-in-family
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Not-in-family
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Not-in-family
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Not-in-family
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	77516
15	Bachelors	Not-in-family
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	Bachelors	77516
15	Bachelors	Not-in-family
15	Not-in-family	Not-in-family
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	77516
15	Bachelors	Not-in-family
15	Not-in-family	77516
15	77516	77516
15	Bachelors	Not-in-family
15	Not-in-family	Not-in-family
15	Not-in-family	77516
15	Bachelors	Not-in-family
15	Not-in-family	Not-in-family
15	Not-in-family	Not-in-family
15	Not-in-family	77516
15	77516	77516
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	77516
15	Bachelors	77516
15	77516	77516
15	Bachelors	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Not-in-family	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	Bachelors
15	Bachelors	77516
15	Bachelors	77516
15	Bachelors	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	77516	2174
15	2174	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	Bachelors	77516
15	77516	77516
15	Bachelors	77516
15	Bachelors	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	Bachelors	77516
15	Bachelors	77516
15	77516	77516
15	Bachelors	2174
15	2174	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
15	77516	77516
